9999 # 0 # Do not delete this entry # 0.0 # 01/01/1970 00:00

1 # 910067180706627594 # Yehwee # 135.8 # 01/11/2022 00:06

47 # 910067180706627594 # Yehwee # 241.6 # 01/11/2022 00:28


129 # 910067180706627594 # Yehwee # 130.5 # 01/11/2022 03:30

195 # 910067180706627594 # Yehwee # 182.4 # 01/11/2022 03:36
79 # 755209226414194740 # Juan. # 125.5 # 01/11/2022 05:22
206 # 910067180706627594 # Yehwee # 73.4 # 01/11/2022 18:33
66 # 910067180706627594 # Yehwee # 155.7 # 01/11/2022 18:34
303 # 910067180706627594 # Yehwee # 150.2 # 01/11/2022 18:36
394 # 910067180706627594 # Yehwee # 146.8 # 01/11/2022 21:18

275 # 910067180706627594 # Yehwee # 145.9 # 01/11/2022 21:20
325 # 755209226414194740 # Juan. # 99.9 # 02/11/2022 01:29
137 # 910067180706627594 # Yehwee # 138.7 # 02/11/2022 07:02
286 # 910067180706627594 # Yehwee # 121.4 # 02/11/2022 20:11
367 # 910067180706627594 # Yehwee # 159.2 # 02/11/2022 20:18
218 # 321699007036522498 # Glevion # 186.1 # 02/11/2022 21:31
116 # 321699007036522498 # Glevion # 193.5 # 02/11/2022 21:31
142 # 321699007036522498 # Glevion # 199.1 # 02/11/2022 21:35

398 # 910067180706627594 # Yehwee # 110.6 # 02/11/2022 21:55
212 # 910067180706627594 # Yehwee # 136.1 # 02/11/2022 23:21
318 # 910067180706627594 # Yehwee # 137.3 # 02/11/2022 23:21
402 # 910067180706627594 # Yehwee # 227.4 # 03/11/2022 23:47
166 # 910067180706627594 # Yehwee # 134.1 # 03/11/2022 23:51
336 # 910067180706627594 # Yehwee # 123.2 # 03/11/2022 23:52
106 # 910067180706627594 # Yehwee # 563.1 # 03/11/2022 23:55
410 # 910067180706627594 # Yehwee # 107.7 # 04/11/2022 00:02
413 # 910067180706627594 # Yehwee # 162.5 # 04/11/2022 00:52
405 # 755209226414194740 # Juan. # 125.5 # 04/11/2022 02:03

404 # 755209226414194740 # Juan. # 125.9 # 04/11/2022 02:09
409 # 910067180706627594 # Yehwee # 208.9 # 04/11/2022 02:18
153 # 910067180706627594 # Yehwee # 146.6 # 04/11/2022 02:39 # 146.649514676646
252 # 910067180706627594 # Yehwee # 127.1 # 04/11/2022 02:49 # 127.13797035347775 # 1037906406646493316 # 1037906302795518022
408 # 910067180706627594 # Yehwee # 219.1 # 04/11/2022 03:17 # 219.07166440085453 # 1037913410656018512 # 1037906302795518022

400 # 284511523789864972 # alesito # 226.3 # 04/11/2022 05:26 # 226.3083451202263 # 1037945880973688892 # 1037906302795518022
406 # 284511523789864972 # alesito # 145.3 # 04/11/2022 05:30 # 145.26394608760765 # 1037946823853219850 # 1037906302795518022


446 # 910067180706627594 # Yehwee # 152.8 # 04/11/2022 21:38 # 152.7868000519683 # 1038190599528005665 # 1038190520427614238
417 # 755209226414194740 # Juan. # 155.6 # 05/11/2022 00:04 # 155.62266832474685 # 1038227161812840601 # 1038211395642200184
448 # 755209226414194740 # Juan. # 147 # 05/11/2022 00:05 # 147.00735036751837 # 1038227424539836476 # 1038211395642200184
410 # 755209226414194740 # Juan. # 97.2 # 05/11/2022 00:05 # 97.24473257698541 # 1038227563463589948 # 1038211395642200184
451 # 755209226414194740 # Juan. # 120.1 # 05/11/2022 00:08 # 120.06319115323855 # 1038228182073081968 # 1038228061759475802
416 # 755209226414194740 # Juan. # 172.6 # 05/11/2022 00:09 # 172.58328782086292 # 1038228512022216784 # 1038228061759475802
434 # 755209226414194740 # Juan. # 40.9 # 05/11/2022 00:10 # 40.86735353709532 # 1038228705450934352 # 1038228061759475802

401 # 755209226414194740 # Juan. # 159.3 # 04/11/2022 02:04
401 # 284511523789864972 # alesito # 217.7 # 04/11/2022 06:43 # 217.68082663605054 # 1037965316724097024 # 
0 # 123 # TEST # 107.7 # 04/11/2022 06:43 # 207.68082663605054 # 1037965316724097024 # 
0 # 123 # TEST # 207.7 # 04/11/2022 06:43 # 207.68082663605054 # 1037965316724097024 # 
0 # 123 # TEST # 0 # 04/11/2022 06:43 # 207.68082663605054 # 1037965316724097024 # 

0 # 123 # TEST # 157.7 # 04/11/2022 06:43 # 207.68082663605054 # 1037965316724097024 # 

