1034237377301975060 # Type2 # 100729500.000000
284511523789864972 # alesito # 471016.000000
755209226414194740 # Juan. # 443026.000000
321699007036522498 # Glevion # 80003.000000
911477043735199806 # S3bas # 0
349920059549941761 # reminder-bot # 5500.000000
1038011291337502730 # Reminder # 500.000000
159985870458322944 # MEE6 # 100250500.000000
910067180706627594 # Yehwee # 1993023.000000
510789298321096704 # TeXit # 3000.000000
720448354945073243 # kode # 58500.000000
428235350771630080 # Ron Mingo # 59500.000000
318100438496837633 # Peto # 3000.000000
558679630970748929 # haxwhy # 719037.000000
